"Datum","Standort","Parameter","Intervall","Einheit","Wert","Status"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",456.72,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",960.01,"provisorisch"
"2023-01-09T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.9,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.54,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",475.25,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",957.63,"provisorisch"
"2023-01-09T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.34,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",5.34,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",53.45,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",971.35,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",54.36,"provisorisch"
"2023-01-10T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",6.81,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",5.33,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",8.58,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.94,"provisorisch"
"2023-01-10T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",7.05,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",5.26,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",30.58,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",971.62,"provisorisch"
"2023-01-10T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",6.98,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.05,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",310.68,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",969.64,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",11.73,"provisorisch"
"2023-01-11T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",8.58,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",7.34,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",220.45,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",972.22,"provisorisch"
"2023-01-11T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",8.9,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","T","d1","°C",6.71,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","RainDur","d1","min",225.67,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","p","d1","hPa",969.92,"provisorisch"
"2023-01-11T00:00+0100","Zch_Rosengartenstrasse","T_max_h1","d1","°C",7.91,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","T","d1","°C",7.84,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","p","d1","hPa",970.73,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","StrGlo","d1","W/m2",33.29,"provisorisch"
"2023-01-12T00:00+0100","Zch_Stampfenbachstrasse","T_max_h1","d1","°C",9.08,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","T","d1","°C",8.22,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","RainDur","d1","min",0,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","p","d1","hPa",973.34,"provisorisch"
"2023-01-12T00:00+0100","Zch_Schimmelstrasse","T_max_h1","d1","°C",9.5,"provisorisch"
